Equipment,Family_type,Scaling_quantity,Unit,Min_Scale,Max_Scale,Min_Cost,Max_Cost,Scaling_Factor,CEPCI
Thermal wheel,"(Ljungstom heater) low temperature operation I 400 hC aluminum or asbestos coated including wheel, wheel housing, drive and motor designed for a face velocity = 3.5 m/s for each side of a balanced flow exchanger but excluding air chambers, fans and reheat coil","(Ljungstom heater) low temperature operation I 400 hC aluminum or asbestos coated including wheel, wheel housing, drive and motor designed for a face velocity = 3.5 m/s for each side of a balanced flow exchanger but excluding air chambers, fans and reheat coil",Ndm3/s,1,15,22361,86603,0.5,1000.00
Thermal wheel,"(Ljungstom heater), high temperature operation, less than 800 degrees Celsius","(Ljungstom heater), high temperature operation, less than 800 degrees Celsius",Ndm3/s,2,10,88020,294314,0.75,1000.00
Package unit,"refrigeration, mechanical vapor recompression, c/s, evaporator temperature 4.4 hC with centrifugal compressor, condensers, insulation, instrumentation, field erection excluding cooling tower","refrigeration, mechanical vapor recompression, c/s, evaporator temperature 4.4 hC with centrifugal compressor, condensers, insulation, instrumentation, field erection excluding cooling tower",kW,20,5000,39344,2762466,0.77,1000.00
Boiler,"fired, package, gasï¿½oil fired, water tube with fire tube for smaller size, 1.5 MPa with boiler, burner, fan, deaerator, chemical injection, stack, integral piping, instruments","fired, package, gasï¿½oil fired, water tube with fire tube for smaller size, 1.5 MPa with boiler, burner, fan, deaerator, chemical injection, stack, integral piping, instruments",kg/s,1,10,200500,1667690,0.92,1000.00
Boiler,"field erected, gasï¿½oil fired, water tube, 1.5 MPa, excluding distribution facilities and housing","field erected, gasï¿½oil fired, water tube, 1.5 MPa, excluding distribution facilities and housing",kg/s,2,50,1943875,12985328,0.59,1000.00
Furnace,"dowtherm, package unit including firing","dowtherm, package unit including firing",kJ/s,40,2800,3356,44812,0.61,1000.00
Tempered glycol system,"heating: package unit: c/s, with low pressure steam to heat the circulating 50 % glycol solution from 35 to 65 hC including heat exchangers, tank, TEFC motors, circulating pump, integral piping, valves, fittings, instrumentation excluding foundation and hookup","heating: package unit: c/s, with low pressure steam to heat the circulating 50 % glycol solution from 35 to 65 hC including heat exchangers, tank, TEFC motors, circulating pump, integral piping, valves, fittings, instrumentation excluding foundation and hookup",L/s,1.5,20,60115,109074,0.23,1000.00
Tempered glycol system,"for cooling, package unit: c/s, with cooling water to cool the circulating 50 % glycol solution with heat exchangers, tank, TEFC motors, circulating pump, integral piping, valves, fittings, instrumentation excluding foundation and hookup","for cooling, package unit: c/s, with cooling water to cool the circulating 50 % glycol solution with heat exchangers, tank, TEFC motors, circulating pump, integral piping, valves, fittings, instrumentation excluding foundation and hookup",MW ,0.3,1,128880,170000,0.23,1000.00
Tempered glycol system,"for cooling, package unit: c/s, with cooling water to cool the circulating 50 % glycol solution with heat exchangers, tank, TEFC motors, circulating pump, integral piping, valves, fittings, instrumentation excluding foundation and hookup","for cooling, package unit: c/s, with cooling water to cool the circulating 50 % glycol solution with heat exchangers, tank, TEFC motors, circulating pump, integral piping, valves, fittings, instrumentation excluding foundation and hookup",MW ,1,3,170000,304315,0.53,1000.00
"External short tube, vertical exchanger","natural circulation, including vapor piping, barometric condenser, vacuum equipment, integral piping, condensate receivers","natural circulation, including vapor piping, barometric condenser, vacuum equipment, integral piping, condensate receivers",m2,2,20,50596,160000,0.5,1000.00
"External short tube, vertical exchanger","forced circulation, including vapor piping, barometric condenser, vacuum equipment, integral piping, condensate receivers, circulating pump and drive","forced circulation, including vapor piping, barometric condenser, vacuum equipment, integral piping, condensate receivers, circulating pump and drive",m2,20,500,364706,3948381,0.74,1000.00
Horizontal short tube,"internal calendria, including all auxiliaries vapor piping, barometric condenser, vacuum equipment, integral piping, condensate receivers","internal calendria, including all auxiliaries vapor piping, barometric condenser, vacuum equipment, integral piping, condensate receivers",m2,10,900,101098,837988,0.47,1000.00
Vertical short tube,"internal calandria, including vapor piping, barometric condenser, vacuum equipment, integral piping, condensate receivers","internal calandria, including vapor piping, barometric condenser, vacuum equipment, integral piping, condensate receivers",m2,10,600,96196,914406,0.55,1000.00
Long tube,"rising or falling film, including vapor piping, barometric condenser, vacuum equipment, integral piping","rising or falling film, including vapor piping, barometric condenser, vacuum equipment, integral piping",m2,1,10000,15278,8018037,0.68,1000.00
Agitated falling film,"including thermal section, separator, drive but excluding auxiliaries and vacuum equipment","including thermal section, separator, drive but excluding auxiliaries and vacuum equipment",m2,0.1,1,44819,102674,0.36,1000.00
Agitated falling film,"including thermal section, separator, drive but excluding auxiliaries and vacuum equipment (large)","including thermal section, separator, drive but excluding auxiliaries and vacuum equipment (large)",m2,1,25,83959,617719,0.62,1000.00
Distillation column,"vertical, FOB, 1 MPa, cylindrical, dished ends, usual nozzles, access hole, support, excluding internals, c/s","vertical, FOB, 1 MPa, cylindrical, dished ends, usual nozzles, access hole, support, excluding internals, c/s",Mg,0.4,200,17596,646852,0.58,1000.00
Tray column,c/s column with c/s sieve trays on 0.6 m spacing. FOB units with trays shop- installed complete with some nozzles but no access holes or tooling up fee,c/s column with c/s sieve trays on 0.6 m spacing. FOB units with trays shop- installed complete with some nozzles but no access holes or tooling up fee,m2.5,4,150,87010,686702,0.57,1000.00
Tray column,"c/s column with c/s sieve trays on 0.6 m spacing. FOB units with trays shop-installed with nozzles, access holes and tooling up charge","c/s column with c/s sieve trays on 0.6 m spacing. FOB units with trays shop-installed with nozzles, access holes and tooling up charge",m2.5,4,150,98967,675655,0.53,1000.00
Tray column,316 s/s column with 316 s/s sieve trays on 0.3 m spacing. FOB units with trays shop-installed complete with some nozzles but no access holes or tooling up fee,317 s/s column with 316 s/s sieve trays on 0.3 m spacing. FOB units with trays shop-installed complete with some nozzles but no access holes or tooling up fee,m2.5,5,14,104817,234000,0.78,1000.00
Tray column,316 s/s column with 316 s/s sieve trays on 0.3 m spacing. FOB units with trays shop-installed complete with some nozzles but no access holes or tooling up fee (large),317 s/s column with 316 s/s sieve trays on 0.3 m spacing. FOB units with trays shop-installed complete with some nozzles but no access holes or tooling up fee (large),m2.5,14,100,234000,1456521,0.93,1000.00
Tray column,"316 s/s column with 316 s/s sieve trays on 0.3 m spacing. FOB units with trays shop-installed complete with nozzles, no access holes and tooling up fee","317 s/s column with 316 s/s sieve trays on 0.3 m spacing. FOB units with trays shop-installed complete with nozzles, no access holes and tooling up fee",m2.5,5,22,166612,360000,0.52,1000.00
Tray column,"316 s/s column with 316 s/s sieve trays on 0.3 m spacing. FOB units with trays shop-installed complete with nozzles, no access holes and tooling up fee (large)","317 s/s column with 316 s/s sieve trays on 0.3 m spacing. FOB units with trays shop-installed complete with nozzles, no access holes and tooling up fee (large)",m2.5,22,100,360000,1540199,0.96,1000.00
Trays stack,"c/s trays, supports, fittings, shop fabrication and installation at 0.6 m tray spacing into a column but excluding the cost of the column and tooling up fee but accounting for the penalty charge based on the number of trays ordered","c/s trays, supports, fittings, shop fabrication and installation at 0.6 m tray spacing into a column but excluding the cost of the column and tooling up fee but accounting for the penalty charge based on the number of trays ordered",m2.5,1.5,250,5101,275884,0.78,1000.00
Trays stack,"c/s trays, supports, fittings, shop fabrication and installation at 0.6 m tray spacing into a column and including tooling up fee and accounting for the penalty charge based on the number of trays ordered but excluding the cost of the column","c/s trays, supports, fittings, shop fabrication and installation at 0.6 m tray spacing into a column and including tooling up fee and accounting for the penalty charge based on the number of trays ordered but excluding the cost of the column",m2.5,1.5,66,38174,167000,0.39,1000.00
Trays stack,"c/s trays, supports, fittings, shop fabrication and installation at 0.6 m tray spacing into a column and including tooling up fee and accounting for the penalty charge based on the number of trays ordered but excluding the cost of the column (large)","c/s trays, supports, fittings, shop fabrication and installation at 0.6 m tray spacing into a column and including tooling up fee and accounting for the penalty charge based on the number of trays ordered but excluding the cost of the column (large)",m2.5,66,250,167000,471917,0.78,1000.00
Trays stack,316 s/s as above but excluding tooling up fee,317 s/s as above but excluding tooling up fee,m2.5,2.5,200,28291,790674,0.76,1000.00
Trays stack,316 s/s as above and including tooling up fee,317 s/s as above and including tooling up fee,m2.5,2.5,87,61773,420000,0.54,1000.00
Trays stack,316 s/s as above and including tooling up fee (large),317 s/s as above and including tooling up fee (large),m2.5,87,200,420000,790674,0.76,1000.00
Tray,"individual sieve tray, c/s, single pass, installed in column excluding the cost of the column and for orders of more than 40 trays",diameter,m,0.9,2.1,1255,2500,0.8,1000.00
Tray,"individual sieve tray, c/s, single pass, installed in column excluding the cost of the column and for orders of more than 40 trays",diameter,m,2.1,4.6,2500,11750,2.01,1000.00
Packed column,"c/s column with c/s Raschig rings including support trays, holddown plates, distributor and redistributor trays including column with some nozzles but no access holes","c/s column with c/s Raschig rings including support trays, holddown plates, distributor and redistributor trays including column with some nozzles but no access holes",m2.5,0.5,2.8,9138,28000,0.65,1000.00
Packed column,"c/s column with c/s Raschig rings including support trays, holddown plates, distributor and redistributor trays including column with some nozzles but no access holes (large)","c/s column with c/s Raschig rings including support trays, holddown plates, distributor and redistributor trays including column with some nozzles but no access holes (large)",m2.5,2.8,85,28000,604217,0.9,1000.00
Packed column,"316 s/s column with 316 s/s Pall rings including support trays, hold-down plates, distributor and redistributor trays including column with some nozzles but no access holes","317 s/s column with 316 s/s Pall rings including support trays, hold-down plates, distributor and redistributor trays including column with some nozzles but no access holes",m2.5,0.5,0.8,17835,25689,0.9,1000.00
Molecular distillation,constructed with s/s and glass including diffusion pump and nominal auxiliaries but excluding degassifier,constructed with s/s and glass including diffusion pump and nominal auxiliaries but excluding degassifier,kg/s,0,0.3,74674,1775549,0.81,1000.00
Batch,"evaporative cooling, evaporative cooling, c/s with vacuum equipment, mixer, central draft tube","evaporative cooling, evaporative cooling, c/s with vacuum equipment, mixer, central draft tube",m3,0.2,30,21262,641713,0.68,1000.00
Forced circulation growth type,"c/s with pump, drive, heat exchanger, vacuum equipment and crystallizer","c/s with pump, drive, heat exchanger, vacuum equipment and crystallizer",kg/s,0.1,10,199207,2287198,0.53,1000.00
Draft tube MSMPR,c/s,c/s,kg/s,0.5,20,452323,4621117,0.63,1000.00
CPR,"Oslo, Krystall: c/s, vapor body, retention chamber, heating element, recirculation pump, TEFC motor and drive, condenser, ejectors and integral piping","Oslo, Krystall: c/s, vapor body, retention chamber, heating element, recirculation pump, TEFC motor and drive, condenser, ejectors and integral piping",kg/s,0.1,100,239883,17378008,0.62,1000.00
Scraped surface crystallizer,c/s excluding motor and drive,c/s excluding motor and drive,m2,7,60,37722,205925,0.79,1000.00
Triple effect forced circulation,,,kg/s,0.8,10,1044459,5340755,0.63,1000.00
Mechanical vapor recompression,c/s,c/s,kg/s,0.8,10,1378224,9616652,0.75,1000.00
Vacuum,"type, c/s including vessel, pump, motor, drive and vacuum equipment","type, c/s including vessel, pump, motor, drive and vacuum equipment",L/s,2,60,31724,136944,0.43,1000.00
Forced draft packed,"c/s with fan , motor, tower, catch basin, level controllers, two s/s pumps and motors","c/s with fan , motor, tower, catch basin, level controllers, two s/s pumps and motors",L/s,2,60,23868,110287,0.45,1000.00
"Gas stripping, forced draft, packed, ammonia","Gas stripping, forced draft, packed, ammonia","Gas stripping, forced draft, packed, ammonia",L/s,40,200,2712448,5000000,0.38,1000.00
"Gas stripping, forced draft, packed, ammonia (large)","Gas stripping, forced draft, packed, ammonia (large)","Gas stripping, forced draft, packed, ammonia (large)",L/s,200,4000,5000000,69803372,0.88,1000.00
Gas stripping packed or tray column,"ammonia, column only with internals","ammonia, column only with internals",L/s,3,55,263798,1232505,0.53,1000.00
Edible oil deodorizing vessel,"with preheater, deaerator, booster and steam ejectors with dry condensers, polishing filters and all MPI","with preheater, deaerator, booster and steam ejectors with dry condensers, polishing filters and all MPI",kg/s,0.6,10,1076279,7712923,0.7,1000.00
Stirred column extractor,"(Oldshueï¿½Rushton, Scheibel) 304 s/s including motor and variable speed drive","(Oldshueï¿½Rushton, Scheibel) 304 s/s including motor and variable speed drive",m2.5,0.5,55,52614,1170639,0.66,1000.00
Pulsed plate column,"316 s/s tower and plates at 100 mm separation including pulsing mechanism and necessary auxiliaries excluding pump, piping, foundations","317 s/s tower and plates at 100 mm separation including pulsing mechanism and necessary auxiliaries excluding pump, piping, foundations",m2.5,0.5,100,37545,2744030,0.81,1000.00
Reciprocating plate column,"316 s/s tower and plates including reciprocating mechanism, explosion-proof motor and drive excluding pump, piping, foundations","317 s/s tower and plates including reciprocating mechanism, explosion-proof motor and drive excluding pump, piping, foundations",m2.5,0.5,100,45996,2446185,0.75,1000.00
Mixer/settler,"c/s with separate mixer and settler vessels including explosion-proof motor, drive for mixer excluding pipes, tankage, crud/rag removal system and pumps. Aqueous: oil ratio = 1:1","c/s with separate mixer and settler vessels including explosion-proof motor, drive for mixer excluding pipes, tankage, crud/rag removal system and pumps. Aqueous: oil ratio = 1:2",L/s,1,10,18077,30000,0.22,1000.00
Mixer/settler,"c/s with separate mixer and settler vessels including explosion-proof motor, drive for mixer excluding pipes, tankage, crud/rag removal system and pumps. Aqueous: oil ratio = 1:1 (large)","c/s with separate mixer and settler vessels including explosion-proof motor, drive for mixer excluding pipes, tankage, crud/rag removal system and pumps. Aqueous: oil ratio = 1:1 (large)",L/s,10,100,30000,119432,0.6,1000.00
Mixer/settler,"c/s with separate mixer and settler vessels including explosion-proof motor, drive for mixer excluding pipes, tankage, crud/rag removal system and pumps. Aqueous:oil ratio = 1:1. Including piping, concrete, steel, instruments, electrical, insulation, painting and necessary labor to install the module","c/s with separate mixer and settler vessels including explosion-proof motor, drive for mixer excluding pipes, tankage, crud/rag removal system and pumps. Aqueous:oil ratio = 1:1. Including piping, concrete, steel, instruments, electrical, insulation, painting and necessary labor to install the module",L/s,0.1,1.5,29000,29000,0,1000.00
Mixer/settler,"c/s with separate mixer and settler vessels including explosion-proof motor, drive for mixer excluding pipes, tankage, crud/rag removal system and pumps. Aqueous:oil ratio = 1:1. Including piping, concrete, steel, instruments, electrical, insulation, painting and necessary labor to install the module (large)","c/s with separate mixer and settler vessels including explosion-proof motor, drive for mixer excluding pipes, tankage, crud/rag removal system and pumps. Aqueous:oil ratio = 1:1. Including piping, concrete, steel, instruments, electrical, insulation, painting and necessary labor to install the module (large)",L/s,1.5,10,29000,61939,0.4,1000.00
RDC,"c/s vertical pressure vessel including internals, rotor, drive and explosive-proof motor","c/s vertical pressure vessel including internals, rotor, drive and explosive-proof motor",m5/2,0.5,75,17691,375993,0.61,1000.00
Centrifuge,"continuous extraction, 316 s/s including flexible connections, explosion-proof motor, variable speed drive, ammeter, tachometer, excluding pumps, starter, flowmeters and control valves","continuous extraction, 316 s/s including flexible connections, explosion-proof motor, variable speed drive, ammeter, tachometer, excluding pumps, starter, flowmeters and control valves",L/s,0,2.2,75179,220000,0.25,1000.00
Centrifuge,"continuous extraction, 316 s/s including flexible connections, explosion-proof motor, variable speed drive, ammeter, tachometer, excluding pumps, starter, flowmeters and control valves (large)","continuous extraction, 316 s/s including flexible connections, explosion-proof motor, variable speed drive, ammeter, tachometer, excluding pumps, starter, flowmeters and control valves (large)",L/s,2.2,36,220000,636351,0.38,1000.00
Centrifuge,"continuous extraction, Alloy 20 including flexible connections, explosion-proof motor, variable speed drive, ammeter, tachometer, excluding pumps, starter, flowmeters and control valves","continuous extraction, Alloy 20 including flexible connections, explosion-proof motor, variable speed drive, ammeter, tachometer, excluding pumps, starter, flowmeters and control valves",L/s,1.9,20,330877,1024141,0.48,1000.00
Fixed bed,"activated carbon, c/s with instruments and controls","activated carbon, c/s with instruments and controls",kg,500,2200,146273,235000,0.32,1000.00
Fixed bed,"activated carbon, c/s with instruments and controls (medium)","activated carbon, c/s with instruments and controls (medium)",kg,2200,13000,235000,581492,0.51,1000.00
Fixed bed,"activated carbon, c/s with instruments and controls (large)","activated carbon, c/s with instruments and controls (large)",kg,13000,45000,560000,1421150,0.75,1000.00
Fixed bed including regeneration equipment,"air or gas drying, heat regenerated, including regeneration equipment and filters","air or gas drying, heat regenerated, including regeneration equipment and filters",dm3/s,7,70,11248,23500,0.32,1000.00
Fixed bed including regeneration equipment,"air or gas drying, heat regenerated, including regeneration equipment and filters (large)","air or gas drying, heat regenerated, including regeneration equipment and filters (large)",dm3/s,70,700,23500,109918,0.67,1000.00
Carbon adsorption,"two downflow, fixed bed adsorbers operating at 0.95 MPa with two-stage operation with backwash, then carbon exchange, c/s excluding carbon, building, foundations, hookup, carbon storage, regeneration and spent carbon storage","two downflow, fixed bed adsorbers operating at 0.95 MPa with two-stage operation with backwash, then carbon exchange, c/s excluding carbon, building, foundations, hookup, carbon storage, regeneration and spent carbon storage",m2,1.2,12,150998,500000,0.52,1000.00
Carbon adsorption,"two downflow, fixed bed adsorbers operating at 0.95 MPa with two-stage operation with backwash, then carbon exchange, c/s excluding carbon, building, foundations, hookup, carbon storage, regeneration and spent carbon storage (large)","two downflow, fixed bed adsorbers operating at 0.95 MPa with two-stage operation with backwash, then carbon exchange, c/s excluding carbon, building, foundations, hookup, carbon storage, regeneration and spent carbon storage (large)",m2,12,300,500000,12500000,1,1000.00
Ion exchange,"single fixed bed, 1.3 MPa pressure units for sodium form resin with rubber-lined c/s exchange columns for continuous operation excluding resin","single fixed bed, 1.3 MPa pressure units for sodium form resin with rubber-lined c/s exchange columns for continuous operation excluding resin",m3,0.3,30,4571,100000,0.67,1000.00
Ion exchange,"single fixed bed, 1.3 MPa pressure units for sodium form resin with rubber-lined c/s exchange columns for continuous operation excluding resin","single fixed bed, 1.3 MPa pressure units for sodium form resin with rubber-lined c/s exchange columns for continuous operation excluding resin",m3,30,2000,100000,6666667,1,1000.00
Ion exchange resin,strong acid cationic hydrogen form or MR/MP form,strong acid cationic hydrogen form or MR/MP form,m3,1,18,18,274,0.95,1000.00
Ion exchange resin,weak acid cationic hydrogen form or MR/MP form,weak acid cationic hydrogen form or MR/MP form,m3,1,18,33,506,0.95,1000.00
Ion exchange resin,strong and weak base anionic hydrogen or sodium form,strong and weak base anionic hydrogen or sodium form,m3,1,18,36,553,0.95,1000.00
VOC removal from air,VOC removal from air,VOC removal from air,dm3/s,4.5,18,132127,250000,0.46,1000.00
VOC removal from air (large),VOC removal from air (large),VOC removal from air (large),dm3/s,18,40,250000,444250,0.72,1000.00
Separation of permanent gases,Separation of permanent gases,Separation of permanent gases,m3/s,1,10,2000000,17022761,0.93,1000.00
Permeation,Permeation,Permeation,m2,100,560,63053,130000,0.42,1000.00
Permeation,Permeation,Permeation,m2,560,10000,130000,2321429,1,1000.00
Electrodialysis,"reverse polarity for 4000 mg/L TDS alkalinity to 500 mg/L with minimum pretreatment including brine recirculation pumps, ED stack, electrical
equipment, brine discharge facilities, product water treatment and storage, building, intake pipes and transfer pumps","reverse polarity for 4000 mg/L TDS alkalinity to 500 mg/L with minimum pretreatment including brine recirculation pumps, ED stack, electrical
equipment, brine discharge facilities, product water treatment and storage, building, intake pipes and transfer pumps",L/s,40,1500,11793133,230321691,0.82,1000.00
Electrodialysis,"ED stack, spacers, end plates, electrodes and stack hardware","ED stack, spacers, end plates, electrodes and stack hardware",m2,1500,7000,1723602,5066894,0.7,1000.00
Spiral wound membrane,without pressure vessel and auxiliaries,without pressure vessel and auxiliaries,L/s,0.1,2,795,17619,0.84,1000.00
Reverse osmosis,"unit, including membrane, pressure vessels, single pass system with either spiral wound or hollow fiber membranes","unit, including membrane, pressure vessels, single pass system with either spiral wound or hollow fiber membranes",m2,12,1600,22065,220000,0.47,1000.00
Reverse osmosis,"unit, including membrane, pressure vessels, single pass system with either spiral wound or hollow fiber membranes (large)","unit, including membrane, pressure vessels, single pass system with either spiral wound or hollow fiber membranes (large)",m3,1600,3000000,220000,133190657,0.85,1000.00
Membrane,spiral wound,spiral wound,m2,1,100000,240,24000000,1,1000.00
Membrane,hollow fiber,hollow fiber,m2,1,100000,204,20400000,1,1000.00
Membrane,tubular,tubular,m2,1,100000,480,48000000,1,1000.00
Ultrafiltration,"unit including hollow fiber membrane cartridges, pressure vessel excluding piping, valves, pumps, instrumentation and control, cleaning equipment and housing","unit including hollow fiber membrane cartridges, pressure vessel excluding piping, valves, pumps, instrumentation and control, cleaning equipment and housing",L/s,0.1,0.8,13263,70000,0.8,1000.00
Ultrafiltration,"unit including hollow fiber membrane cartridges, pressure vessel excluding piping, valves, pumps, instrumentation and control, cleaning equipment and housing (large)","unit including hollow fiber membrane cartridges, pressure vessel excluding piping, valves, pumps, instrumentation and control, cleaning equipment and housing (large)",L/s,0.8,45,70000,365299,0.41,1000.00
Chromatography,"Package unit including column, packing, storage tanks, pumps, controls, high pressure, stainless steel","Package unit including column, packing, storage tanks, pumps, controls, high pressure, stainless steel",L,1,450,318868,750000,0.14,1000.00
Chromatography,"Package unit including column, packing, storage tanks, pumps, controls, high pressure, stainless steel (large)","Package unit including column, packing, storage tanks, pumps, controls, high pressure, stainless steel (large)",L,450,4500,750000,1799125,0.38,1000.00
Cyclone,"dry, high efficiency, c/s, excluding fans, ductwork and instrumentation","dry, high efficiency, c/s, excluding fans, ductwork and instrumentation",Nm3/s,0.5,40,6539,76071,0.56,1000.00
Multicyclone,"dry, c/s excluding fan, ductwork and instrumentation","dry, c/s excluding fan, ductwork and instrumentation",Nm3/s,0.5,80,3461,98623,0.66,1000.00
Dry louvered impingement collector,"c/s, parallel louvers with minimum pressure drop, including hopper","c/s, parallel louvers with minimum pressure drop, including hopper",Nm3/s,2.5,15,19078,38372,0.39,1000.00
Bag filter,"c/s, continuous, reverse jet type, low temperature excluding air compressor and jet mechanism","c/s, continuous, reverse jet type, low temperature excluding air compressor and jet mechanism",Nm3/s,2.5,30,30644,178883,0.71,1000.00
Bag filter,"c/s, intermittent, shaker type, light duty, insolation damper, dust hopper including motor and drive for shakers but excluding fans, duct work and instrumentation","c/s, intermittent, shaker type, light duty, insolation damper, dust hopper including motor and drive for shakers but excluding fans, duct work and instrumentation",Nm3/s,0.5,2.5,4690,16724,0.79,1000.00
Bag filter system,"installed module for metallurgical open hearth, sinter windbox or sintering materials handling excluding waste heat boiler and fans","installed module for metallurgical open hearth, sinter windbox or sintering materials handling excluding waste heat boiler and fans",Nm3/s,1,10,55370,681197,1.09,1000.00
Bag filter system,"installed module for metallurgical open hearth, sinter windbox or sintering materials handling excluding waste heat boiler and fans (large)","installed module for metallurgical open hearth, sinter windbox or sintering materials handling excluding waste heat boiler and fans (large)",Nm3/s,10,500,2001206,39129916,0.76,1000.00
Electrostatic precipitator,"for noncorrosive gas, minimum cost construction including collector plates, transformer, mechanical rectifier excluding foundation and supports","for noncorrosive gas, minimum cost construction including collector plates, transformer, mechanical rectifier excluding foundation and supports",Nm3/s,0.5,100,113983,900000,0.39,1000.00
Electrostatic precipitator,"for noncorrosive gas, minimum cost construction including collector plates, transformer, mechanical rectifier excluding foundation and supports (large)","for noncorrosive gas, minimum cost construction including collector plates, transformer, mechanical rectifier excluding foundation and supports (large)",Nm3/s,100,600,900000,3773666,0.8,1000.00
Wet scrubber,"impingement baffle (Peabody), c/s, excluding fan, ductwork and instrumentation","impingement baffle (Peabody), c/s, excluding fan, ductwork and instrumentation",Nm3/s,0.5,35,7564,135955,0.68,1000.00
Wet scrubber,"wet cyclone or centrifugal scrubber, c/s, including housing and spray excluding fan, ductwork and instrumentation","wet cyclone or centrifugal scrubber, c/s, including housing and spray excluding fan, ductwork and instrumentation",Nm3/s,0.5,35,6520,117202,0.68,1000.00
"Wet scrubber, venturi","s/s, heavy duty, high efficiency, single stage excluding fan, pumps, ductwork and instrumentation","s/s, heavy duty, high efficiency, single stage excluding fan, pumps, ductwork and instrumentation",Nm3/s,0.2,60,6396,967839,0.88,1000.00
"Wet scrubber, venturi","high efficiency, two-stage, installed unit for open hearth furnace applications","high efficiency, two-stage, installed unit for open hearth furnace applications",Nm3/s,10,115,2200000,17116260,0.84,1000.00
"Wet scrubber, venturi","high efficiency, two-stage, installed unit for blast furnace applications","high efficiency, two-stage, installed unit for blast furnace applications",Nm3/s,20,115,9034775,30738655,0.7,1000.00
"Wet scrubber, venturi","for SO2 application using the double alkali process. Venturi only made of Carpenter 20 in the throat, otherwise 6 mm neoprene on c/s, excluding sump","for SO2 application using the double alkali process. Venturi only made of Carpenter 20 in the throat, otherwise 6 mm neoprene on c/s, excluding sump",Nm3/s,8,280,188209,1705931,0.62,1000.00
"Wet scrubber, gravity spray","c/s, light duty, housing and spray nozzles excluding fan, ductwork and instrumentation","c/s, light duty, housing and spray nozzles excluding fan, ductwork and instrumentation",Nm3/s,0.3,130,3178,222824,0.7,1000.00
TCA wet scrubber,"turbulent bed contactor, 6 mm neoprene on c/s, 316 s/s grids, HDPE spheres, demisters and spray headers","turbulent bed contactor, 6 mm neoprene on c/s, 316 s/s grids, HDPE spheres, demisters and spray headers",Nm3/s,85,280,1315208,3580100,0.84,1000.00
Wet scrubber,"packed column, polyester fiberglass including packing excluding fans, ductwork, pumps and instrumentation","packed column, polyester fiberglass including packing excluding fans, ductwork, pumps and instrumentation",Nm3/s,0.5,1.7,21971,35000,0.39,1000.00
Wet scrubber,"packed column, polyester fiberglass including packing excluding fans, ductwork, pumps and instrumentation (large)","packed column, polyester fiberglass including packing excluding fans, ductwork, pumps and instrumentation (large)",Nm3/s,1.7,15,35000,157008,0.68,1000.00
Dynamic wet-dry separator,"including hopper but excluding motor, drive and settler","including hopper but excluding motor, drive and settler",Nm3/s,0.5,8,6450,35000,0.61,1000.00
Dynamic wet-dry separator,"including hopper but excluding motor, drive and settler (large)","including hopper but excluding motor, drive and settler (large)",Nm3/s,8,30,35000,131250,1,1000.00
"API Oil-water ""skimmer"" separator",PM cost including separator fully installed,volumetric flowrate,L/s,1.2,340,27463,3152707,0.84,1000.00
Oil-water skimmer separator,fully enclosed c/s horizontal cylinder excluding oil or water pumps,volumetric flowrate,L/s,4.5,30,45296,170923,0.7,1000.00
Centrifuge,"differential type, continuous, 316 s/s including flexible connections, explosion-proof motor, variable speed drive, ammeter, tachometer, excluding pumps, starter, flowmeters and control valves",volumetric flowrate,L/s,0,2.2,75179,220000,0.25,1000.00
Centrifuge,"differential type, continuous, 316 s/s including flexible connections, explosion-proof motor, variable speed drive, ammeter, tachometer, excluding pumps, starter, flowmeters and control valves (large)",volumetric flowrate,L/s,2.2,36,220000,636351,0.38,1000.00
Centrifuge,"differential type, continuous, Alloy 20 including flexible connections, explosion-proof motor, variable speed drive, ammeter, tachometer, excluding pumps, starter, flowmeters and control valves",volumetric flowrate,L/s,1.9,20,330877,1024141,0.48,1000.00
Tray/shelf,"(batch, conduction) vacuum, including vacuum-tight box, shelves excluding vacuum equipment and trays",area,m2,1,100,4466,58875,0.56,1000.00
Agitated pan dryer,"(batch, conduction) vacuum, with jacketed bottom and sidewalls with top-entry agitator, c/s, excluding motor and drive",area,m2,0.1,6,30308,112350,0.32,1000.00
Agitated pan dryer,"(batch, conduction) vacuum, with jacketed bottom and sidewalls with top-entry agitator, c/s, excluding motor and drive (large)",area,m2,1,12,49758,134442,0.4,1000.00
Rotary,"horizontal, (batch, conduction) vacuum, c/s, including vacuum equipment, motor and drive with rotating agitator",area,m2,1,60,53282,762738,0.65,1000.00
Cone dryer,"(batch, conduction) vacuum tumble dryer, jacketed, s/s inside, including butterfly valve, stand, drive, motor, guard, vacuum equipment",volume,m3,0,8.5,23895,402210,0.5,1000.00
Drum dryer,"double drum, (conduction) atmospheric pressure, cast iron, chrome plated with 304 s/s side and cross conveyors, dip pan, knife assembly, rotary steam/water joints, end scrapers, drive, motor and fume hood",area,m2,0.9,40,63419,456126,0.52,1000.00
Drum dryer,"(continuous, conduction), vacuum, c/s, double drum, atmospheric pressure, cast iron, chrome plated with 304 s/s side and cross conveyors, dip pan, knife assembly, rotary steam/water joints, end scrapers, drive, motor and fume hood",area,m2,0.9,40,117720,1676194,0.7,1000.00
